Turks and Caicos Islands,TCA,44386.0
Chad,TCD,17224679.0
East Asia & Pacific (IDA & IBRD countries),TEA,2095759417.0
Europe & Central Asia (IDA & IBRD countries),TEC,463151657.0
Togo,TGO,8669720.0
Thailand,THA,71641484.0
Tajikistan,TJK,9749310.0
Turkmenistan,TKM,6949912.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,630051021.0
Timor-Leste,TLS,1326053.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,687728758.0
Tonga,TON,105704.0
South Asia (IDA & IBRD),TSA,1621073417.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1169015451.0
Trinidad and Tobago,TTO,1366725.0
Tunisia,TUN,11974057.0
Turkiye,TUR,83384680.0
Tuvalu,TUV,10399.0
Tanzania,TZA,60972798.0
Uganda,UGA,44457152.0
Ukraine,UKR,44680014.0
Upper middle income,UMC,2785181241.0
Uruguay,URY,3398968.0
United States,USA,331577720.0
Uzbekistan,UZB,33586372.0
St. Vincent and the Grenadines,VCT,103526.0
"Venezuela, RB",VEN,28444077.0
British Virgin Islands,VGB,37135.0
Virgin Islands (U.S.),VIR,106290.0
Viet Nam,VNM,98079191.0
Vanuatu,VUT,298858.0
World,WLD,7855075060.0
Samoa,WSM,211944.0
Kosovo,XKX,1790151.0
"Yemen, Rep.",YEM,36134863.0
South Africa,ZAF,60562381.0
Zambia,ZMB,19059395.0
Zimbabwe,ZWE,15526888.0
